"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr19",35581324,35581857,3.22,3.14,3.3,-0.16,0.905,1
"chr2",231549413,231550082,3.86,3.77,3.93,-0.16,0.905,1
"chr17",40240205,40240733,3.05,3.11,2.98,0.13,0.905,1
"chr4",109493718,109494108,2.51,2.42,2.6,-0.17,0.905,1
"chr2",53702330,53702882,3.71,3.63,3.79,-0.16,0.906,1
"chr16",67975988,67976417,2.98,3.04,2.9,0.14,0.906,1
"chr17",27895113,27896060,4.7,4.63,4.77,-0.14,0.906,1
"chr18",12419747,12420558,4.23,4.15,4.3,-0.15,0.906,1
"chr17",42385639,42386430,3.91,3.84,3.97,-0.14,0.906,1
"chr20",24898979,24899325,3.22,3.14,3.3,-0.16,0.906,1
"chr22",32602954,32603280,3.46,3.38,3.53,-0.14,0.906,1
"chr16",85286195,85287387,4.4,4.33,4.47,-0.14,0.906,1
"chr11",68608285,68609529,5.01,4.93,5.08,-0.14,0.906,1
"chr7",100816660,100817582,4.55,4.48,4.62,-0.14,0.906,1
"chr10",33405077,33405492,2.5,2.56,2.44,0.12,0.906,1
"chr14",107183170,107183502,0.95,1.04,0.86,0.19,0.906,1
"chr16",2610759,2611027,0.95,1.04,0.86,0.19,0.906,1
"chr14",105633710,105635572,5.58,5.51,5.65,-0.14,0.906,1
"chr16",8622803,8623270,3.37,3.29,3.46,-0.17,0.906,1
"chr4",16198113,16198566,3.45,3.36,3.54,-0.18,0.906,1
"chr2",171265476,171265958,2.62,2.55,2.7,-0.15,0.906,1
"chr20",48900414,48900938,3.58,3.64,3.51,0.14,0.906,1
"chr1",21978073,21978481,3.25,3.16,3.33,-0.17,0.906,1
"chr2",102447739,102448297,3.25,3.16,3.33,-0.17,0.906,1
"chr14",101159143,101159935,4.82,4.74,4.9,-0.15,0.906,1
"chr13",109160612,109161058,2.7,2.61,2.78,-0.17,0.906,1
"chr17",38277844,38279635,5.12,5.19,5.06,0.13,0.906,1
"chr9",15246602,15247024,2.35,2.42,2.27,0.16,0.906,1
"chr10",64197509,64197734,1.88,1.78,1.97,-0.19,0.906,1
"chr11",93508419,93508759,1.88,1.78,1.97,-0.19,0.906,1
"chr14",89769217,89770827,3.89,3.81,3.96,-0.15,0.906,1
"chr1",144012653,144013060,3.45,3.51,3.38,0.13,0.906,1
"chr5",133801157,133802782,5.97,5.89,6.04,-0.15,0.906,1
"chr2",46691567,46691935,3.06,2.98,3.14,-0.15,0.906,1
"chr8",94981540,94981907,3.08,3.15,3.02,0.13,0.906,1
"chr3",58400251,58401318,3.52,3.58,3.45,0.13,0.906,1
"chr7",45924945,45925476,3.04,3.1,2.97,0.13,0.906,1
"chr6",170604899,170605147,2.41,2.48,2.34,0.14,0.906,1
"chr1",121386130,121386476,2.56,2.65,2.47,0.18,0.906,1
"chr3",183154490,183154851,1.17,1.09,1.24,-0.15,0.906,1
"chr2",11213326,11213725,3.33,3.2,3.45,-0.25,0.906,1
"chr14",54075135,54075559,3.36,3.28,3.43,-0.16,0.906,1
"chr5",16550468,16550840,2.73,2.8,2.66,0.14,0.906,1
"chr8",37395682,37396058,2.37,2.44,2.3,0.14,0.906,1
"chr1",68515762,68516510,3.77,3.84,3.71,0.13,0.906,1
"chr19",35704606,35705383,3.44,3.37,3.51,-0.15,0.906,1
"chr12",125093020,125093980,4.03,3.96,4.11,-0.15,0.906,1
"chr17",79494621,79495242,4.15,4.07,4.22,-0.14,0.906,1
"chr1",168334734,168335350,2.36,2.42,2.3,0.12,0.906,1
"chr1",28520270,28520701,3.31,3.38,3.23,0.14,0.906,1
"chr1",46993662,46994126,3.34,3.26,3.42,-0.16,0.906,1
"chr16",84958757,84959186,3.31,3.24,3.38,-0.14,0.906,1
"chr22",50324582,50324897,2.64,2.71,2.57,0.14,0.906,1
"chr5",16744456,16744806,2.64,2.71,2.57,0.14,0.906,1
"chr12",111284391,111285235,4.43,4.5,4.36,0.14,0.906,1
"chr2",37788785,37789729,3.83,3.76,3.9,-0.14,0.906,1
"chr19",33710195,33710632,2.84,2.91,2.78,0.13,0.906,1
"chr10",119501073,119501395,2.86,2.92,2.79,0.13,0.906,1
"chr12",91123576,91124121,3.07,2.98,3.15,-0.16,0.906,1
"chr15",63311717,63312164,3.07,2.98,3.15,-0.16,0.906,1
"chr2",26946973,26947536,3.95,4.02,3.88,0.14,0.906,1
"chr2",235197666,235198776,3.7,3.63,3.77,-0.14,0.906,1
"chr1",110325478,110326346,3.64,3.71,3.57,0.13,0.906,1
"chr4",99087492,99087921,2.43,2.35,2.5,-0.16,0.906,1
"chr4",40318633,40320032,4.39,4.31,4.47,-0.15,0.906,1
"chr22",50679666,50679929,2.83,2.75,2.9,-0.15,0.907,1
"chr2",42997659,42998025,3.01,2.93,3.08,-0.15,0.907,1
"chr8",134394259,134394598,3.17,3.09,3.24,-0.15,0.907,1
"chr12",6389315,6389708,3.57,3.49,3.64,-0.16,0.907,1
"chr21",33805410,33806079,4.01,3.92,4.09,-0.16,0.907,1
"chr4",179874651,179875006,1.35,1.46,1.24,0.22,0.907,1
"chr12",52426651,52427140,4.62,4.54,4.69,-0.15,0.907,1
"chr2",65144786,65145446,3.81,3.73,3.88,-0.15,0.907,1
"chr22",42721219,42721678,2.83,2.75,2.9,-0.15,0.907,1
"chr7",24852058,24852278,1.94,1.84,2.04,-0.21,0.907,1
"chr2",85246268,85246538,2,1.89,2.11,-0.22,0.907,1
"chr2",143701911,143702187,2,1.89,2.11,-0.22,0.907,1
"chr8",57883513,57883827,2,1.89,2.11,-0.22,0.907,1
"chr4",140933800,140934299,2.76,2.82,2.68,0.14,0.907,1
"chr1",45018423,45019764,3.83,3.89,3.76,0.13,0.907,1
"chr2",234312906,234313237,2.26,2.16,2.36,-0.2,0.907,1
"chr16",70198993,70199555,2.93,2.84,3.01,-0.17,0.907,1
"chr17",71779222,71779950,3.04,2.96,3.12,-0.16,0.907,1
"chr4",148747019,148747410,3.03,2.91,3.14,-0.23,0.907,1
"chr11",125811876,125812284,3.47,3.38,3.55,-0.17,0.907,1
"chr11",68811475,68811978,3.89,3.81,3.96,-0.15,0.907,1
"chr14",99845035,99845535,3.89,3.81,3.96,-0.15,0.907,1
"chr2",238632286,238632594,2.16,2.07,2.24,-0.18,0.907,1
"chr16",5121737,5122292,4.03,3.96,4.11,-0.15,0.907,1
"chr10",25606706,25607220,2.74,2.64,2.83,-0.19,0.907,1
"chr6",26285673,26286701,3.86,3.92,3.79,0.13,0.907,1
"chr19",42210582,42211209,4.38,4.3,4.45,-0.15,0.907,1
"chr6",166401355,166401980,3.7,3.61,3.77,-0.16,0.907,1
"chr14",91752844,91753245,2.86,2.78,2.94,-0.16,0.907,1
"chr17",40776154,40776503,2.58,2.51,2.65,-0.14,0.907,1
"chr1",26648062,26648438,2.73,2.8,2.67,0.13,0.907,1
"chr10",33434510,33435288,4.58,4.5,4.64,-0.14,0.907,1
"chr16",15743765,15744465,5.02,4.95,5.1,-0.14,0.907,1
"chr4",8317327,8318567,4.3,4.22,4.37,-0.14,0.907,1
"chrX",153824606,153825173,2.9,2.81,2.99,-0.18,0.907,1
"chr14",81378332,81378772,2.52,2.42,2.61,-0.19,0.907,1
"chr19",10401891,10403287,4.82,4.74,4.89,-0.14,0.907,1
"chr17",6316319,6316636,2.48,2.38,2.57,-0.18,0.907,1
"chr2",134894755,134895054,2.48,2.38,2.57,-0.18,0.907,1
"chr5",125674872,125675329,2.48,2.38,2.57,-0.18,0.907,1
"chr6",29483960,29484258,2.48,2.38,2.57,-0.18,0.907,1
"chr19",19042823,19043655,4.32,4.39,4.25,0.14,0.907,1
"chr10",21631468,21631901,2.21,2.11,2.3,-0.19,0.907,1
"chr18",21289894,21290577,2.21,2.11,2.3,-0.19,0.907,1
"chr2",178469120,178469390,2.21,2.11,2.3,-0.19,0.907,1
"chr4",140150556,140150862,2.21,2.11,2.3,-0.19,0.907,1
"chr6",126633452,126634360,2.21,2.11,2.3,-0.19,0.907,1
"chr7",134298422,134299061,2.21,2.11,2.3,-0.19,0.907,1
"chr6",141702122,141702634,2.74,2.81,2.67,0.14,0.907,1
"chr11",35651451,35651977,3.66,3.58,3.73,-0.15,0.907,1
"chr3",49675777,49676325,3.29,3.21,3.36,-0.15,0.907,1
"chr6",106967509,106968457,3.29,3.21,3.36,-0.15,0.907,1
"chr3",42518186,42518745,3.84,3.76,3.92,-0.16,0.907,1
"chr20",62289427,62290752,4.76,4.82,4.69,0.13,0.908,1
"chr2",110086765,110087403,3.37,3.43,3.3,0.13,0.908,1
"chr11",118027083,118027518,3.12,3.18,3.05,0.13,0.908,1
"chr15",49217986,49218505,2.86,2.93,2.79,0.14,0.908,1
"chr12",5399716,5400108,1.08,0.94,1.21,-0.26,0.908,1
"chr7",128248973,128249440,1.08,0.94,1.21,-0.26,0.908,1
"chr2",60666423,60666987,3.59,3.5,3.67,-0.17,0.908,1
"chr1",117027894,117028197,3.29,3.21,3.35,-0.14,0.908,1
"chr17",37557458,37559059,5.08,5.01,5.14,-0.13,0.908,1
"chr3",193807212,193807787,4.33,4.26,4.41,-0.15,0.908,1
"chr3",171506318,171506754,2.78,2.68,2.87,-0.19,0.908,1
"chr1",201315676,201316084,2.56,2.46,2.66,-0.2,0.908,1
"chr8",105453799,105454872,3.44,3.37,3.5,-0.14,0.908,1
"chr2",133151421,133152081,1.6,1.53,1.66,-0.14,0.908,1
"chr15",43028703,43030317,5.24,5.16,5.31,-0.14,0.908,1
"chr10",97106798,97107083,2.31,2.2,2.41,-0.21,0.908,1
"chr2",8231227,8231562,2.31,2.2,2.41,-0.21,0.908,1
"chr8",106729066,106729348,2.31,2.2,2.41,-0.21,0.908,1
"chr9",99138829,99139919,3.04,2.96,3.13,-0.17,0.908,1
"chr2",28819674,28819973,2.87,2.78,2.95,-0.17,0.908,1
"chr22",51082052,51082724,2.13,2.22,2.04,0.19,0.908,1
"chr20",36011775,36013407,4.41,4.47,4.34,0.13,0.908,1
"chr5",89899893,89900897,2.71,2.77,2.64,0.12,0.908,1
"chr12",123401247,123402397,4.11,4.04,4.18,-0.14,0.908,1
"chr3",156253012,156253421,3.22,3.29,3.15,0.14,0.908,1
"chr11",107769017,107769393,2.49,2.37,2.61,-0.25,0.908,1
"chr10",98600435,98601065,2.96,2.86,3.05,-0.19,0.908,1
"chr11",925554,926842,4.98,4.9,5.04,-0.14,0.908,1
"chr13",31537958,31538348,2.54,2.48,2.61,-0.13,0.908,1
"chr10",120560493,120560764,2.67,2.58,2.75,-0.17,0.908,1
"chr9",36862120,36862553,2.67,2.58,2.75,-0.17,0.908,1
"chr20",37740654,37741109,3.68,3.6,3.76,-0.16,0.908,1
"chr18",13630108,13630573,3.37,3.28,3.45,-0.17,0.908,1
"chr11",107670097,107670369,2.44,2.35,2.52,-0.17,0.908,1
"chr15",34652544,34652908,2.44,2.35,2.52,-0.17,0.908,1
"chr17",64422511,64422894,2.44,2.35,2.52,-0.17,0.908,1
"chr3",40732204,40733092,2.44,2.35,2.52,-0.17,0.908,1
"chr4",7877861,7878156,2.44,2.35,2.52,-0.17,0.908,1
"chr6",138789658,138790039,2.44,2.35,2.52,-0.17,0.908,1
"chr7",55063270,55064122,3.31,3.23,3.39,-0.15,0.908,1
"chr22",39930729,39931146,3.1,3.16,3.03,0.13,0.908,1
"chr11",61405837,61406233,3.29,3.21,3.36,-0.15,0.908,1
"chr14",72929963,72930441,3.29,3.21,3.36,-0.15,0.908,1
"chr1",205641254,205641625,3.02,2.93,3.1,-0.16,0.908,1
"chr12",55143016,55143775,3.02,2.93,3.1,-0.16,0.908,1
"chr7",80570506,80572004,3.76,3.68,3.83,-0.15,0.908,1
"chr10",127935893,127936308,2.58,2.64,2.52,0.12,0.908,1
"chr1",24069639,24070526,4.43,4.49,4.37,0.13,0.908,1
"chr8",127513168,127513578,3.17,3.04,3.29,-0.25,0.908,1
"chr8",95084281,95085290,3.61,3.68,3.55,0.13,0.908,1
"chr15",56345009,56345395,2.39,2.31,2.47,-0.17,0.908,1
"chr19",18279000,18279330,2.39,2.31,2.47,-0.17,0.908,1
"chr2",100630310,100630618,2.05,2.11,1.97,0.14,0.908,1
"chr9",32395810,32396157,2.05,2.11,1.97,0.14,0.908,1
"chr14",77227740,77228310,4.54,4.47,4.61,-0.14,0.908,1
"chr14",50787751,50788289,3.74,3.81,3.67,0.14,0.908,1
"chr6",3157421,3158079,4.55,4.48,4.62,-0.14,0.908,1
"chr7",46579306,46579754,2.56,2.46,2.66,-0.2,0.908,1
"chr22",19718134,19718725,3.97,3.9,4.03,-0.13,0.908,1
"chr17",41399706,41401254,6.86,6.92,6.79,0.13,0.908,1
"chr5",67755967,67756396,2.71,2.61,2.79,-0.18,0.908,1
"chr6",40862635,40863089,3.55,3.47,3.63,-0.16,0.908,1
"chr7",155560416,155561392,3.55,3.47,3.63,-0.16,0.908,1
"chr6",83007658,83008137,2.52,2.42,2.61,-0.19,0.908,1
"chr20",30865269,30865867,3.62,3.68,3.56,0.12,0.909,1
"chr6",160122146,160123123,3.57,3.49,3.65,-0.16,0.909,1
"chr4",48972614,48973030,2.84,2.75,2.92,-0.16,0.909,1
"chr10",104343515,104344364,3.74,3.67,3.81,-0.14,0.909,1
"chr1",27371042,27371586,3.53,3.45,3.61,-0.16,0.909,1
"chr16",66762052,66762627,2.63,2.55,2.71,-0.17,0.909,1
"chr7",5635821,5636155,3.84,3.77,3.92,-0.15,0.909,1
"chr12",49259430,49259984,4.01,3.93,4.09,-0.15,0.909,1
"chr6",44140370,44140777,3.15,3.07,3.23,-0.16,0.909,1
"chr6",36270247,36270710,3.27,3.19,3.34,-0.14,0.909,1
"chr9",136608118,136608503,3.27,3.19,3.34,-0.14,0.909,1
"chr3",8754200,8754460,2.48,2.39,2.57,-0.18,0.909,1
"chr22",42228618,42229361,5.48,5.41,5.54,-0.14,0.909,1
"chr1",27970283,27970685,2.87,2.78,2.95,-0.17,0.909,1
"chr2",153492149,153492533,2.87,2.78,2.95,-0.17,0.909,1
"chr21",34773277,34773535,2.87,2.78,2.95,-0.17,0.909,1
"chr6",8083579,8084031,2.87,2.78,2.95,-0.17,0.909,1
"chr22",30602954,30603281,3.3,3.21,3.37,-0.16,0.909,1
"chr10",101665955,101666603,3.66,3.58,3.73,-0.15,0.909,1
"chr20",49988762,49989246,3.53,3.45,3.61,-0.16,0.909,1
"chr7",46608055,46609184,4.49,4.41,4.56,-0.16,0.909,1
"chr20",49574841,49575790,4.52,4.45,4.58,-0.13,0.909,1
"chr1",167789217,167789744,3.51,3.57,3.44,0.13,0.909,1
"chrY",13481536,13486097,5.77,5.7,5.83,-0.13,0.909,1
"chr9",6901941,6902870,3.18,3.24,3.12,0.12,0.909,1
"chr16",69795955,69796671,4.45,4.38,4.52,-0.15,0.909,1
"chr8",22439501,22439904,4.29,4.21,4.36,-0.15,0.909,1
"chr6",53590579,53591010,2.84,2.75,2.92,-0.16,0.909,1
"chr8",102313568,102314040,2.84,2.75,2.92,-0.16,0.909,1
"chr17",32001681,32002029,2.26,2.16,2.36,-0.2,0.909,1
"chr16",15528138,15529005,3.62,3.55,3.69,-0.14,0.909,1
"chr1",201268942,201269417,3.11,3.17,3.04,0.13,0.909,1
"chr6",113953478,113954512,3.68,3.6,3.75,-0.16,0.909,1
"chr16",11808550,11809416,2.35,2.27,2.42,-0.16,0.909,1
"chr7",25759977,25760334,2.35,2.27,2.42,-0.16,0.909,1
"chr17",42091666,42092534,3.99,3.92,4.06,-0.14,0.909,1
"chr1",32443253,32443807,2.78,2.84,2.73,0.11,0.909,1
"chr18",55988666,55989739,3.91,3.84,3.99,-0.15,0.909,1
"chr1",39252118,39252646,2.91,2.97,2.84,0.13,0.909,1
"chr8",8910754,8911306,3.71,3.78,3.64,0.14,0.909,1
"chr5",68813537,68814002,3.08,2.96,3.19,-0.23,0.909,1
"chr21",32739006,32739634,4.23,4.15,4.3,-0.15,0.909,1
"chr8",145909555,145911645,6.3,6.23,6.37,-0.14,0.909,1
"chr8",61523624,61523928,1.94,2.02,1.86,0.16,0.909,1
"chr4",42304333,42304730,2.99,2.91,3.06,-0.16,0.909,1
"chr4",166397742,166398192,2.99,2.91,3.06,-0.16,0.909,1
"chr17",16283942,16284676,4.75,4.68,4.82,-0.14,0.909,1
"chr6",161780184,161781094,4.16,4.08,4.23,-0.15,0.909,1
"chr16",22173608,22174009,3.02,2.93,3.1,-0.16,0.909,1
"chr1",117031872,117032442,3.98,4.04,3.91,0.13,0.909,1
"chr11",10921001,10922249,4.94,4.86,5.01,-0.15,0.909,1
"chr9",129539986,129540387,2.99,2.91,3.06,-0.16,0.909,1
"chr12",121667711,121668381,3.62,3.55,3.69,-0.14,0.909,1
"chr6",35336161,35336686,3.42,3.35,3.49,-0.14,0.909,1
"chr8",143626849,143627257,3.81,3.74,3.88,-0.14,0.909,1
"chr22",40420779,40421060,2.59,2.51,2.67,-0.16,0.909,1
"chr20",17511459,17512285,4.2,4.13,4.27,-0.14,0.909,1
"chr5",149320861,149321188,2.44,2.35,2.52,-0.17,0.909,1
"chr19",6110320,6110972,5.26,5.19,5.33,-0.14,0.909,1
"chr8",99370287,99370727,3.51,3.43,3.58,-0.15,0.909,1
"chr1",234820029,234820332,2.16,2.07,2.24,-0.18,0.909,1
"chr10",22948227,22948801,2.16,2.07,2.24,-0.18,0.909,1
"chr16",16090460,16090928,3.48,3.55,3.42,0.13,0.909,1
"chr5",94999986,95000580,2.29,2.37,2.21,0.16,0.909,1
"chr11",805067,805524,3.94,4.01,3.88,0.13,0.909,1
"chr10",103698214,103699374,3.27,3.19,3.35,-0.15,0.91,1
"chr5",150643672,150644197,3.66,3.72,3.6,0.13,0.91,1
"chr11",61792911,61793458,3.1,3.16,3.04,0.12,0.91,1
"chr17",75136456,75137698,5.98,5.91,6.04,-0.13,0.91,1
"chr14",77679716,77680167,3.12,3.04,3.2,-0.15,0.91,1
"chr6",54835018,54835558,3.15,3.07,3.23,-0.16,0.91,1
"chr11",61519723,61520420,4.85,4.78,4.92,-0.13,0.91,1
"chr10",22040148,22040675,3.19,3.26,3.12,0.14,0.91,1
"chr1",15500342,15501266,4.21,4.13,4.28,-0.16,0.91,1
"chr9",22103221,22103709,3.84,3.9,3.77,0.13,0.91,1
"chr9",74886760,74887528,3.09,3.02,3.16,-0.14,0.91,1
"chr10",92616617,92618058,5.21,5.14,5.28,-0.14,0.91,1
"chr20",31253064,31253583,3.51,3.43,3.58,-0.15,0.91,1
"chr22",39706943,39707505,3.71,3.64,3.79,-0.15,0.91,1
"chr5",49513636,49513991,2.39,2.46,2.32,0.14,0.91,1
"chr20",61407954,61408826,4.41,4.34,4.48,-0.14,0.91,1
"chr9",43743684,43744128,0.5,0.6,0.39,0.21,0.91,1
"chr17",43472519,43473127,3.37,3.31,3.44,-0.13,0.91,1
"chr13",20692481,20693712,4.58,4.51,4.64,-0.13,0.91,1
"chr9",81216287,81217265,2.93,2.99,2.86,0.14,0.91,1
"chr20",25119733,25120101,1.73,1.81,1.64,0.17,0.91,1
"chr8",11500029,11500375,1.73,1.81,1.64,0.17,0.91,1
"chr5",131551033,131551458,3.07,3.14,3.01,0.13,0.91,1
"chr11",66153595,66153979,2.55,2.48,2.63,-0.15,0.91,1
"chr8",102463980,102464324,2.55,2.48,2.63,-0.15,0.91,1
"chr18",47492366,47493837,4.45,4.38,4.52,-0.14,0.91,1
"chr11",60828817,60829232,2.49,2.56,2.42,0.14,0.91,1
"chr22",50936771,50937213,2.49,2.56,2.42,0.14,0.91,1
"chr8",130315142,130316009,3.97,3.89,4.04,-0.14,0.91,1
"chr16",29836496,29836961,3.48,3.55,3.41,0.14,0.91,1
"chr22",28197146,28198041,4.14,4.2,4.08,0.13,0.91,1
"chr19",7570859,7571848,5.71,5.64,5.77,-0.14,0.91,1
"chr7",73097383,73098140,4.72,4.65,4.78,-0.13,0.91,1
"chr3",28100726,28101437,2.77,2.69,2.84,-0.15,0.91,1
"chr19",17599555,17600217,4.35,4.28,4.42,-0.14,0.91,1
"chr5",134761815,134762389,3.27,3.34,3.21,0.13,0.91,1
"chr17",40688038,40689219,5.06,4.99,5.13,-0.13,0.91,1
"chr17",76285878,76286249,3.15,3.21,3.08,0.13,0.91,1
"chr3",156855141,156855691,3.3,3.21,3.38,-0.17,0.91,1
"chr3",180894489,180894847,2.46,2.53,2.39,0.14,0.91,1
"chr4",69317678,69317971,2.46,2.53,2.39,0.14,0.91,1
"chr7",140920140,140920475,2.46,2.53,2.39,0.14,0.91,1
"chr5",150582262,150582791,3.24,3.17,3.31,-0.14,0.91,1
"chr20",60471253,60471676,2.98,3.03,2.92,0.12,0.91,1
"chr8",71127463,71127861,3.18,3.09,3.26,-0.16,0.91,1
"chr1",12664293,12664737,3.62,3.55,3.7,-0.15,0.91,1
"chr15",55805766,55806324,2.25,2.18,2.32,-0.13,0.91,1
"chr17",22244724,22248548,2.08,2.16,1.99,0.17,0.911,1
"chr9",94902584,94903158,3.16,3.21,3.1,0.12,0.911,1
"chr9",84332424,84333238,3.25,3.17,3.32,-0.15,0.911,1
"chr19",39226677,39227773,4.08,4.14,4.02,0.12,0.911,1
"chr2",180103896,180104279,3.26,3.14,3.37,-0.23,0.911,1
"chr20",32716932,32717761,3.1,3.02,3.17,-0.15,0.911,1
"chr1",161043508,161044943,4.34,4.27,4.41,-0.13,0.911,1
"chr1",93486889,93487369,2.11,2.02,2.19,-0.17,0.911,1
"chr8",9947279,9947709,3.4,3.47,3.33,0.14,0.911,1
"chr3",50365404,50365977,4.37,4.43,4.3,0.13,0.911,1
"chr22",50323168,50323523,2.77,2.69,2.84,-0.15,0.911,1
"chr3",58860474,58860958,3.07,2.93,3.19,-0.26,0.911,1
"chr13",111607407,111607927,3.64,3.56,3.71,-0.15,0.911,1
"chr8",74985102,74985782,4.07,4,4.14,-0.14,0.911,1
"chr8",86573609,86576286,2.24,2.16,2.32,-0.16,0.911,1
"chr8",38322912,38323829,3.92,3.84,3.99,-0.15,0.911,1
"chr17",47038895,47039318,2.84,2.91,2.76,0.14,0.911,1
"chr7",152556752,152557531,2.84,2.91,2.76,0.14,0.911,1
"chr15",89157626,89158197,4.04,3.96,4.11,-0.15,0.911,1
"chr19",632491,633836,4.78,4.84,4.72,0.13,0.911,1
"chr14",68933260,68933663,2.63,2.55,2.71,-0.16,0.911,1
"chr11",75099678,75100041,3.14,3.2,3.08,0.12,0.911,1
"chr4",9997952,9998675,2.81,2.88,2.74,0.14,0.911,1
"chr11",51578778,51581076,4.04,4.1,3.97,0.13,0.911,1
"chr13",110064669,110065363,4,3.92,4.07,-0.15,0.911,1
"chr16",67850368,67850845,3.48,3.54,3.41,0.13,0.911,1
"chr2",11878630,11879387,3.98,3.91,4.05,-0.15,0.911,1
"chr9",4105855,4106410,2.35,2.27,2.42,-0.16,0.911,1
"chr3",4872835,4873200,2.27,2.35,2.19,0.16,0.911,1
"chr8",146175735,146176459,4.87,4.81,4.94,-0.13,0.911,1
"chr2",10553819,10554511,3.61,3.53,3.68,-0.16,0.911,1
"chr10",74091652,74092188,4.69,4.62,4.77,-0.15,0.911,1
"chr9",140062897,140064352,4.67,4.6,4.73,-0.13,0.911,1
"chr10",106409911,106410223,2.42,2.48,2.36,0.12,0.911,1
"chr14",91369366,91369741,2.42,2.48,2.36,0.12,0.911,1
"chr2",69066360,69066731,2.42,2.48,2.36,0.12,0.911,1
"chr17",29232928,29234029,4.57,4.5,4.64,-0.14,0.911,1
"chr11",17501008,17501843,3.88,3.8,3.95,-0.14,0.911,1
"chr6",157274736,157275008,2.93,2.85,3,-0.15,0.911,1
"chr3",189721561,189721815,1.85,1.92,1.78,0.14,0.911,1
"chr6",83909596,83909827,1.85,1.92,1.78,0.14,0.911,1
"chr11",795480,798590,6.3,6.23,6.37,-0.14,0.911,1
"chr7",62021651,62023607,2.03,2.11,1.95,0.17,0.911,1
"chrX",132579079,132579970,3.11,3.18,3.04,0.14,0.911,1
"chr2",55242135,55243037,3.13,3.04,3.21,-0.16,0.911,1
"chr11",7625821,7627216,4.83,4.76,4.9,-0.15,0.911,1
"chr10",14946253,14946664,2,2.07,1.93,0.14,0.911,1
"chr1",36834627,36835030,3.15,3.07,3.24,-0.17,0.911,1
"chr2",99001491,99001877,3.15,3.07,3.24,-0.17,0.911,1
"chr13",100084880,100085525,3.72,3.64,3.79,-0.16,0.911,1
"chr19",49375369,49375790,4.14,4.07,4.21,-0.14,0.911,1
"chr12",2829039,2830309,1.44,1.53,1.35,0.18,0.911,1
"chr15",41025161,41025508,1.44,1.53,1.35,0.18,0.911,1
"chr5",174148067,174148340,3.22,3.15,3.29,-0.14,0.911,1
"chr18",52901795,52902306,3.35,3.4,3.28,0.12,0.911,1
"chr22",36317788,36318190,2.84,2.75,2.93,-0.18,0.911,1
"chr10",106087894,106089616,6.16,6.08,6.23,-0.14,0.911,1
"chr12",98884632,98885215,4.07,3.99,4.14,-0.15,0.911,1
"chr8",95579816,95580130,2.18,2.25,2.11,0.14,0.911,1
"chr2",1046774,1047359,3.02,2.93,3.11,-0.18,0.911,1
"chr6",26987539,26988218,3.92,3.84,3.99,-0.14,0.911,1
"chr2",27988632,27989277,3.83,3.89,3.77,0.12,0.911,1
"chr9",13942751,13943094,2.32,2.38,2.24,0.14,0.912,1
"chr3",182896629,182897770,4.47,4.39,4.53,-0.14,0.912,1
"chr2",241949043,241950011,4.14,4.2,4.08,0.13,0.912,1
"chr4",114468606,114469200,4.37,4.3,4.44,-0.14,0.912,1
"chr5",46364165,46364884,2.21,2.11,2.3,-0.19,0.912,1
"chr11",11540746,11541698,3.06,3.11,3,0.12,0.912,1
"chr6",133284138,133284527,2.88,2.78,2.97,-0.18,0.912,1
"chr17",33860446,33860656,1.8,1.86,1.73,0.14,0.912,1
"chr7",26318448,26318737,1.8,1.86,1.73,0.14,0.912,1
"chrX",67791775,67792010,1.8,1.86,1.73,0.14,0.912,1
"chr15",74248990,74249600,3.91,3.98,3.85,0.13,0.912,1
"chr18",29665009,29665731,3.91,3.98,3.85,0.13,0.912,1
"chr22",37373412,37374466,3.93,3.99,3.87,0.12,0.912,1
"chr22",30278891,30279863,5.36,5.29,5.43,-0.14,0.912,1
"chr1",19969607,19971255,5.13,5.06,5.2,-0.14,0.912,1
"chr1",6438278,6438689,2.96,2.88,3.04,-0.16,0.912,1
"chr20",62710971,62711571,4.29,4.22,4.36,-0.15,0.912,1
"chr22",22011563,22012442,5,4.93,5.07,-0.14,0.912,1
"chr8",144614325,144614684,3.07,3,3.14,-0.14,0.912,1
"chr14",36454722,36455342,2.81,2.72,2.89,-0.17,0.912,1
"chr1",98791529,98791964,3.41,3.52,3.29,0.23,0.912,1
"chr19",16186954,16187586,3.89,3.82,3.95,-0.13,0.912,1
"chr5",142339393,142340267,4.04,3.96,4.12,-0.15,0.912,1
"chr12",54426341,54427991,4.84,4.9,4.78,0.12,0.912,1
"chr17",72172837,72173250,3.34,3.27,3.41,-0.14,0.912,1
"chr2",241931223,241931593,3.07,2.99,3.14,-0.14,0.912,1
"chr3",148897750,148898286,3.07,2.99,3.14,-0.14,0.912,1
"chr1",22968525,22968816,2.89,2.82,2.96,-0.14,0.912,1
"chr12",46825334,46825899,2.68,2.58,2.77,-0.19,0.912,1
"chr19",10828058,10829118,5.99,5.92,6.06,-0.14,0.912,1
"chr3",42695804,42696678,4.77,4.7,4.84,-0.14,0.912,1
"chr17",48238750,48239268,4.44,4.37,4.5,-0.13,0.912,1
"chr12",72140531,72141234,3.04,3.1,2.97,0.13,0.912,1
"chr6",43149623,43150248,4.25,4.17,4.32,-0.15,0.912,1
"chr19",34894994,34895852,4.53,4.45,4.6,-0.14,0.912,1
